date,open,high,low,close,adj_close,volume
18-12-2020,87.70899963,87.75550079,86.01100159,86.55049896,86.03907013,80328000
21-12-2020,85.67549896,87.04250336,84.94999695,86.96849823,86.45459747,36568000
22-12-2020,86.72149658,86.87024689,85.62875366,86.17500305,85.665802,18734000
23-12-2020,86.40550232,87.39949799,86.2519989,86.6190033,86.1071701,20676000
24-12-2020,86.75,87.30000305,86.45549774,86.94249725,86.42874908,6936000
28-12-2020,87.58174896,89.53639984,87.31674957,88.80449677,88.27975464,27860000
29-12-2020,89.38950348,89.62200165,87.80449677,87.93599701,87.41638184,25988000
30-12-2020,88.10050201,88.25475311,86.27999878,86.97599792,86.46205902,26122000
31-12-2020,86.77100372,87.94650269,86.77100372,87.59400177,87.07640839,20238000
04-01-2021,87.8769989,88.03250122,85.39250183,86.41200256,85.90138245,38038000
05-01-2021,86.25,87.38349915,85.90074921,87.04599762,86.5316391,22906000
06-01-2021,85.13150024,87.40000153,84.94999695,86.76450348,86.25180817,52042000
07-01-2021,87.00299835,89.41999817,86.85250092,89.36250305,88.8344574,45300000
08-01-2021,89.39900208,90.49199677,88.67675018,90.36049652,89.82655334,41012000
11-01-2021,89.30349731,89.71575165,88.02600098,88.33599854,87.81401825,24194000
12-01-2021,87.69599915,88.90200043,86.26550293,87.32749939,86.81147003,27140000
13-01-2021,86.92900085,88.25174713,86.90049744,87.72000122,87.20166016,21882000
14-01-2021,87.68099976,88.75050354,86.66999817,87.00900269,86.49485779,23590000
15-01-2021,86.90950012,87.80000305,86.07749939,86.80950165,86.29654694,26844000
19-01-2021,87.61250305,90.46375275,87.07299805,89.54299927,89.01389313,34692000
20-01-2021,91.57299805,95.1855011,91.27649689,94.34500122,93.78751373,49806000
21-01-2021,94.90000153,96.74299622,94.35549927,94.5625,94.00373077,41278000
22-01-2021,94.78399658,95.54750061,94.08799744,95.05249786,94.49082947,25442000
25-01-2021,96.03350067,96.47899628,93.37650299,94.97000122,94.40882111,38546000
26-01-2021,94.44200134,96.25,94.21224976,95.86199951,95.29555511,26262000
27-01-2021,94.12650299,94.5,90.44999695,91.53949738,90.99858856,54966000
28-01-2021,92.1969986,94.9414978,92.13200378,93.15550232,92.6050415,35462000
29-01-2021,92.3085022,92.86399841,90.51000214,91.78700256,91.24462891,32252000
01-02-2021,92.67849731,96.11959839,92.54650116,95.06749725,94.5057373,32044000
02-02-2021,96.12799835,97.78800201,95.72450256,96.37550354,95.80601501,45474000
03-02-2021,103.6500015,105.8249969,100.9189987,103.5035019,102.8918915,82364000
04-02-2021,103.4445038,103.9274979,102.1295013,103.1184998,102.5091705,37046000
05-02-2021,103.5,105.1255035,102.9664993,104.9000015,104.2801514,30702000
08-02-2021,105.2955017,106.1773529,103.5999985,104.6455002,104.0271454,24838000
09-02-2021,103.927002,105.2565002,103.927002,104.175499,103.5599213,17798000
10-02-2021,104.7105026,105.4185028,103.1545029,104.7689972,104.1499176,22710000
11-02-2021,104.975502,105.1015015,103.8659973,104.7945023,104.1752701,18914000
12-02-2021,104.5124969,105.4410019,104.1565018,105.2054977,104.5838318,17114000
16-02-2021,105.2180023,107.6340027,105.2180023,106.0950012,105.4680786,22676000
17-02-2021,105,106.6829987,104.9459991,106.4154968,105.7866898,21418000
18-02-2021,105.5195007,106.6367493,105.1855011,105.8600006,105.2344742,22432000
19-02-2021,105.963501,106.5264969,104.8704987,105.0569992,104.436203,29148000
22-02-2021,103.3499985,104.5709991,103.1070023,103.2440033,102.633934,27350000
23-02-2021,101.2505035,104.100502,100.1009979,103.5429993,102.93116,33348000
24-02-2021,102.0914993,105.0390015,101.9065018,104.7584991,104.139473,24966000
25-02-2021,103.3724976,104.7440033,101.0644989,101.5680008,100.9678345,36568000
26-02-2021,102.526001,103.550499,100.8030014,101.8430023,101.2412033,41670000
01-03-2021,102.8259964,104.3259964,102.3050003,104.0755005,103.4605103,28090000
02-03-2021,103.8095016,105.2184982,103.5630035,103.7919998,103.1786804,22692000
03-03-2021,103.3604965,104.4259033,100.5,101.3355026,100.7367096,29684000
04-03-2021,101.1685028,104.461998,101.0134964,102.4544983,101.8490906,42360000
05-03-2021,103.6559982,105.9055023,102.3207474,105.427002,104.8040314,43904000
08-03-2021,105.0565033,106.4404984,101.0804977,101.2085037,100.6104507,32948000
09-03-2021,103.5,103.9020004,102.3915024,102.6350021,102.0285187,33946000
10-03-2021,103.5879974,103.75,101.6685028,102.751503,102.1443405,25372000
11-03-2021,103.7030029,106.2850037,103.6190033,105.7385025,105.1136932,24782000
12-03-2021,104.25,104.5130005,102.3775024,103.0960007,102.4868088,34516000
15-03-2021,103.1149979,103.3529968,102.175499,103.324501,102.7139511,25962000
16-03-2021,103.949501,106.1780014,103.5,104.6259995,104.0077591,29832000
17-03-2021,103.8014984,105.4889984,102.6999969,104.5540009,103.9361877,25980000
18-03-2021,103.0500031,103.7750015,101.6774979,101.810997,101.2093964,27228000
19-03-2021,102.1025009,102.6549988,100.8840027,102.1600037,101.5563431,46298000
22-03-2021,102.0920029,102.899498,101.3034973,101.9294968,101.3271866,39096000
23-03-2021,102.5849991,103.615097,101.9609985,102.6480026,102.0414429,27340000
24-03-2021,103.2685013,103.9104996,102.0777512,102.2529984,101.6487885,23080000
25-03-2021,102.2405014,102.9434967,100.536499,102.2180023,101.6139908,28378000
26-03-2021,101.9430008,102.5494995,100.7009964,101.7774963,101.1760941,29870000
29-03-2021,101.3939972,102.9215012,100.7809982,102.7975006,102.1900635,24596000
30-03-2021,102.8815002,103.5390015,102.2014999,102.7770004,102.1696777,20732000
31-03-2021,102.9560013,104.6663513,102.8372498,103.4315033,102.8203278,29198000
01-04-2021,104.8974991,107.1470032,104.8444977,106.8874969,106.2558899,33980000
05-04-2021,107.6470032,111.8655014,107.5810013,111.2774963,110.619957,43298000
06-04-2021,111.125,111.8830032,110.7399979,111.2375031,110.5802002,27060000
07-04-2021,111.3065033,112.75,111.2665024,112.4840012,111.8193359,25798000
08-04-2021,113.8980026,114.2002487,112.8840027,113.2720032,112.6026764,27166000
09-04-2021,112.8349991,114.4520035,112.6856995,114.2939987,113.6186371,20888000
12-04-2021,113.3125,113.7659988,111.9232483,112.739502,112.0733261,31318000
13-04-2021,113.0735016,113.8604965,112.8044968,113.3635025,112.693634,23310000
14-04-2021,113.7580032,113.899498,112.4595032,112.7419968,112.0757904,20220000
15-04-2021,113.848999,115.3298492,113.3000031,114.8330002,114.1544495,27472000
